Date,DateKey,Calendar Year Number,Calendar Year,Calendar Year Quarter Number,Calendar Year Quarter,Calendar Year Month Number,Calendar Year Month,Month Number,Month,Day of Week Number,Day of Week,Fiscal Year Number,Fiscal Year,Fiscal Quarter Number,Fiscal Quarter,Fiscal Year Quarter Number,Fiscal Year Quarter,Fiscal Month Number,Fiscal Month,Working Day,Is Holiday,Holiday Name,Europe Season,North America Season,Asia Season
2005-07-01T00:00:00,20050701,2005,CY 2005,20053,Q3-2005,200507,July 2005,7,July,6,Friday,2006,FY 2006,1,Q1,20061,Q1-2006,1,July,WorkDay,0,None,Back to School,Back to School,None
2005-07-04T00:00:00,20050704,2005,CY 2005,20053,Q3-2005,200507,July 2005,7,July,2,Monday,2006,FY 2006,1,Q1,20061,Q1-2006,1,July,WorkDay,0,None,Back to School,Back to School,None
2005-07-05T00:00:00,20050705,2005,CY 2005,20053,Q3-2005,200507,July 2005,7,July,3,Tuesday,2006,FY 2006,1,Q1,20061,Q1-2006,1,July,WorkDay,0,None,Back to School,Back to School,None
2005-07-06T00:00:00,20050706,2005,CY 2005,20053,Q3-2005,200507,July 2005,7,July,4,Wednesday,2006,FY 2006,1,Q1,20061,Q1-2006,1,July,WorkDay,0,None,Back to School,Back to School,None
2005-07-07T00:00:00,20050707,2005,CY 2005,20053,Q3-2005,200507,July 2005,7,July,5,Thursday,2006,FY 2006,1,Q1,20061,Q1-2006,1,July,WorkDay,0,None,Back to School,Back to School,None
2005-07-08T00:00:00,20050708,2005,CY 2005,20053,Q3-2005,200507,July 2005,7,July,6,Friday,2006,FY 2006,1,Q1,20061,Q1-2006,1,July,WorkDay,0,None,Back to School,Back to School,None
2005-07-11T00:00:00,20050711,2005,CY 2005,20053,Q3-2005,200507,July 2005,7,July,2,Monday,2006,FY 2006,1,Q1,20061,Q1-2006,1,July,WorkDay,0,None,Back to School,Back to School,None
2005-07-12T00:00:00,20050712,2005,CY 2005,20053,Q3-2005,200507,July 2005,7,July,3,Tuesday,2006,FY 2006,1,Q1,20061,Q1-2006,1,July,WorkDay,0,None,Back to School,Back to School,None
2005-07-13T00:00:00,20050713,2005,CY 2005,20053,Q3-2005,200507,July 2005,7,July,4,Wednesday,2006,FY 2006,1,Q1,20061,Q1-2006,1,July,WorkDay,0,None,Back to School,Back to School,None
2005-07-14T00:00:00,20050714,2005,CY 2005,20053,Q3-2005,200507,July 2005,7,July,5,Thursday,2006,FY 2006,1,Q1,20061,Q1-2006,1,July,WorkDay,0,None,Back to School,Back to School,None
2005-07-15T00:00:00,20050715,2005,CY 2005,20053,Q3-2005,200507,July 2005,7,July,6,Friday,2006,FY 2006,1,Q1,20061,Q1-2006,1,July,WorkDay,0,None,Back to School,Back to School,None
2005-07-18T00:00:00,20050718,2005,CY 2005,20053,Q3-2005,200507,July 2005,7,July,2,Monday,2006,FY 2006,1,Q1,20061,Q1-2006,1,July,WorkDay,0,None,Back to School,Back to School,None
2005-07-19T00:00:00,20050719,2005,CY 2005,20053,Q3-2005,200507,July 2005,7,July,3,Tuesday,2006,FY 2006,1,Q1,20061,Q1-2006,1,July,WorkDay,0,None,Back to School,Back to School,None
2005-07-20T00:00:00,20050720,2005,CY 2005,20053,Q3-2005,200507,July 2005,7,July,4,Wednesday,2006,FY 2006,1,Q1,20061,Q1-2006,1,July,WorkDay,0,None,Back to School,Back to School,None
2005-07-21T00:00:00,20050721,2005,CY 2005,20053,Q3-2005,200507,July 2005,7,July,5,Thursday,2006,FY 2006,1,Q1,20061,Q1-2006,1,July,WorkDay,0,None,Back to School,Back to School,None
2005-07-22T00:00:00,20050722,2005,CY 2005,20053,Q3-2005,200507,July 2005,7,July,6,Friday,2006,FY 2006,1,Q1,20061,Q1-2006,1,July,WorkDay,0,None,Back to School,Back to School,None
2005-07-25T00:00:00,20050725,2005,CY 2005,20053,Q3-2005,200507,July 2005,7,July,2,Monday,2006,FY 2006,1,Q1,20061,Q1-2006,1,July,WorkDay,0,None,Back to School,Back to School,None
2005-07-26T00:00:00,20050726,2005,CY 2005,20053,Q3-2005,200507,July 2005,7,July,3,Tuesday,2006,FY 2006,1,Q1,20061,Q1-2006,1,July,WorkDay,0,None,Back to School,Back to School,None
2005-07-27T00:00:00,20050727,2005,CY 2005,20053,Q3-2005,200507,July 2005,7,July,4,Wednesday,2006,FY 2006,1,Q1,20061,Q1-2006,1,July,WorkDay,0,None,Back to School,Back to School,None
2005-07-28T00:00:00,20050728,2005,CY 2005,20053,Q3-2005,200507,July 2005,7,July,5,Thursday,2006,FY 2006,1,Q1,20061,Q1-2006,1,July,WorkDay,0,None,Back to School,Back to School,None
2005-07-29T00:00:00,20050729,2005,CY 2005,20053,Q3-2005,200507,July 2005,7,July,6,Friday,2006,FY 2006,1,Q1,20061,Q1-2006,1,July,WorkDay,0,None,Back to School,Back to School,None
2006-07-03T00:00:00,20060703,2006,CY 2006,20063,Q3-2006,200607,July 2006,7,July,2,Monday,2007,FY 2007,1,Q1,20071,Q1-2007,1,July,WorkDay,0,None,Back to School,Back to School,None
